,tic,statpers,fyear,actual,actual_lag1,meanest,medest,numest,stdev,statest,spe.statest,spe.medest,spe.meanest
1,ABM,19347,2013,1.52,1.39,1.37,1.37,6,0.06,1.40682638612198,0.012808266878211,0.0225,0.0225
2,AKS,18311,2011,-0.54,-0.63,1.41,1.3,13,0.3,-3.20507365110986,7.10261756584002,3.3856,3.8025
3,AVX,19130,2013,0.6,1.2,0.91,0.93,3,0.06,0.730308980176842,0.0169804303147286,0.1089,0.0961
4,ABT,19039,2013,5.07,4.66,5.02,5.01,23,0.07,4.91902895257835,0.0227922571595914,0.00360000000000006,0.00250000000000007
5,ACXM,19130,2013,0.76,0.76,0.61,0.61,5,0.02,0.716986479492463,0.00185016294645231,0.0225,0.0225
6,ADBE,19347,2013,1.34,2.35,1.43,1.4,25,0.11,2.60366115240737,1.59683950810353,0.00359999999999998,0.00809999999999998
7,ADTN,19011,2013,0.74,2.12,2.2,2.22,19,0.1,1.91196537709144,1.37350284510108,2.1904,2.1316
8,AMD,19039,2013,-0.16,0.5,0.65,0.64,31,0.09,-1.7265547883175,2.4540939048005,0.64,0.6561
9,AGU,19039,2013,10.29,9.81,9.01,9.1,24,0.67,9.85175716995195,0.192056778088528,1.4161,1.6384
10,APD,19312,2013,5.5,5.4,5.74,5.75,21,0.06,5.68819698874617,0.0354181065731243,0.0625,0.0576000000000001
11,ARG,19130,2013,4.35,4.11,4.81,4.8,16,0.05,4.34926117870109,5.45856911718971e-07,0.2025,0.2116
12,ALB,19039,2013,4.85,4.77,4.82,4.9,11,0.32,4.97002045837864,0.014404910429418,0.00250000000000007,0.000899999999999962
13,AGN,19039,2013,4.14,3.65,4.19,4.18,28,0.03,3.72387752151043,0.173157917104302,0.0016,0.00250000000000007
14,ATK,19130,2013,8.34,7.93,6.57,6.45,14,0.43,7.21662509745223,1.26197117167422,3.5721,3.1329
15,ALTR,19039,2013,1.72,2.35,1.82,1.8,29,0.15,1.86770475209428,0.0218166937912342,0.00640000000000001,0.01
16,APU,19312,2013,2.43,0.71,2.51,2.47,7,0.15,3.78522521692277,1.83663538858337,0.0016,0.00639999999999994
17,AME,19039,2013,1.88,1.58,1.81,1.8,12,0.03,1.7225098078715,0.0248031606166708,0.00639999999999998,0.00489999999999998
18,AMGN,19039,2013,6.51,5.33,6.05,6.07,28,0.11,5.88798278189776,0.386905419615649,0.1936,0.2116
19,APC,19039,2013,3.52,3.37,3.46,3.51,29,0.71,3.87394637980695,0.125278039778449,0.000100000000000005,0.00360000000000001
20,ADI,19347,2013,2.16,2.13,2.15,2.13,27,0.11,2.43862170421279,0.0776300540584412,0.000900000000000015,0.000100000000000005
21,AXE,19039,2013,5.47,5.71,6.26,6.25,10,0.21,5.01699927011862,0.205209661273061,0.6084,0.6241
22,APA,19039,2013,9.48,11.83,12.29,12.57,28,1.26,11.6648498941102,4.77356905979323,9.5481,7.89609999999999
23,APOL,19284,2013,3.16,3.56,2.78,2.75,19,0.24,2.90771608477956,0.063647173878952,0.1681,0.1444
24,AAPL,19312,2013,5.6786,6.3071,7.15,7.12,55,0.53,7.35564853925467,2.81249180301624,2.07763396,2.16501796
25,AMAT,19312,2013,0.59,0.75,0.66,0.66,19,0.16,0.733421596330254,0.0205697542939184,0.00490000000000001,0.00490000000000001
26,ATR,19039,2013,2.41,2.65,2.92,2.9,10,0.11,2.60061590938154,0.036334424909351,0.2401,0.2601
27,ADM,19284,2013,2.3,2.25,2.09,2.09,1,NA,3.74742689934348,2.09504462894308,0.0441,0.0441
28,ARW,19039,2013,4.4,5.19,4.83,4.93,14,0.46,4.9617514142565,0.315564651419182,0.280899999999999,0.1849
29,ATML,19039,2013,0.32,0.68,0.42,0.43,13,0.06,0.507945232860068,0.0353234105548253,0.0121,0.01
30,ATO,19312,2013,2.53,2.11,2.45,2.45,9,0.05,2.74799425774421,0.0475214964094473,0.00639999999999994,0.00639999999999994
31,ADSK,19067,2013,1.94,1.74,2.05,2.05,20,0.04,1.89039204616738,0.00246094908345966,0.0121,0.0121
32,ALV,19039,2013,5.82,6.65,6.44,6.39,18,0.54,7.84154673513861,4.08665120234958,0.324899999999999,0.3844
33,AZO,17429,2008,10.04,8.53,9.63,9.69,12,0.26,9.10882078377583,0.867094732727862,0.1225,0.168099999999999
34,AVY,19039,2013,2.08,2.16,1.99,2,5,0.02,2.80634670137217,0.527579530594228,0.00640000000000001,0.00810000000000002
35,AVT,19221,2013,3.47,4.06,4.11,4.13,13,0.12,4.2138787104448,0.553355535853025,0.4356,0.4096
36,AVP,19039,2013,0.85,1.64,1.56,1.5,17,0.14,1.3765745994909,0.277280808828999,0.4225,0.5041
37,BHI,19039,2013,3.14,4.2,4.94,4.92,33,0.23,4.23241760314107,1.19337621965248,3.1684,3.24
38,BLL,19039,2013,3.06,2.73,3.07,3.06,11,0.06,2.97824966829193,0.00668311673437909,0,9.99999999999957e-05
39,BCR,19039,2013,6.57,6.4,6.67,6.66,20,0.08,6.84347590729303,0.0747890718697437,0.00809999999999998,0.00999999999999993
40,BKS,19193,2013,-2.65,-1.31,-0.93,-1,7,0.39,-1.57041175494804,1.16551077885436,2.7225,2.9584
41,ABX,19039,2013,3.82,4.67,5.59,5.55,24,0.57,4.85008207464493,1.06106908050481,2.9929,3.1329
42,BAX,19039,2013,4.53,4.31,4.54,4.53,17,0.04,4.47216944360014,0.00334437325351703,0,9.99999999999957e-05
43,BDX,19312,2013,5.81,5.37,5.63,5.62,19,0.03,5.49992922811413,0.0961438835778989,0.0360999999999998,0.0323999999999999
44,BBBY,19102,2013,4.56,4.06,4.58,4.6,30,0.1,4.6656967094452,0.0111717943875427,0.0016,0.000400000000000018
45,BLC,18675,2012,0.55,0.83,0.56,0.6,3,0.08,1.31671366041837,0.587849837072132,0.00249999999999999,1e-04
46,BMS,19039,2013,2.15,1.99,2.14,2.1,11,0.1,1.87219837497728,0.0771737428652666,0.00249999999999998,9.99999999999957e-05
47,BBY,19102,2013,2.62,3.64,3.62,3.64,19,0.08,3.98378027319983,1.85989663356901,1.0404,1
48,BDK,17576,2009,5.47,6.03,5.58,5.53,12,0.24,5.38678380720593,0.00692493474313979,0.00360000000000006,0.0121000000000001
49,BBOX,18766,2012,2.94,3.29,3.56,3.56,2,0.11,0.336290751438645,6.77930185104394,0.3844,0.3844
50,HRB,19193,2013,1.59,1.28,1.61,1.62,6,0.04,1.31866419659677,0.0736231182084775,0.000900000000000002,0.000400000000000001
51,BOBE,19158,2013,2.39,2.54,2.67,2.69,3,0.04,4.1812814097935,3.20868908907177,0.0899999999999999,0.0783999999999999
52,BA,19039,2013,5.11,4.8,4.46,4.45,29,0.24,4.23308196124646,0.768985246691352,0.4356,0.4225
53,BWA,19039,2013,2.485,2.225,2.69,2.7,22,0.16,2.07176871323826,0.170760096358763,0.0462250000000001,0.042025
54,BSX,19039,2013,0.41,0.44,0.42,0.42,23,0.02,0.405931066341486,1.65562211173842e-05,1e-04,1e-04
55,BRC,19256,2013,1.93,2.14,2.27,2.28,7,0.08,1.97018637210651,0.00161494450308263,0.1225,0.1156
56,BGG,19221,2013,0.93,1.15,1.36,1.35,5,0.07,1.36447822539917,0.188771328346013,0.1764,0.1849
57,EAT,19221,2013,2.34,1.96,2.35,2.35,19,0.04,2.09046534592013,0.0622675435867617,0.000100000000000005,0.000100000000000005
58,BMY,19039,2013,1.99,2.28,1.97,1.97,21,0.05,2.29633719723004,0.0938424784067584,0.000400000000000001,0.000400000000000001
59,BC,19039,2013,2.09,0.78,1.41,1.42,10,0.06,3.2150172307414,1.26566376946506,0.4489,0.4624
60,BPL,19039,2013,2.93,3.07,3.26,3.23,12,0.19,3.15867710564126,0.0522932186444619,0.0899999999999999,0.1089
61,CVS,19039,2013,3.43,2.8,3.27,3.27,18,0.03,2.76328627541441,0.444507190550786,0.0256,0.0256
62,CBT,19312,2013,2.91,3.34,3.96,4,7,0.15,3.97450805795062,1.1331774054418,1.1881,1.1025
63,ELY,18675,2012,-0.63,-0.28,0.2,0.2,11,0.06,-0.493229641302455,0.0187061310182552,0.6889,0.6889
64,CPB,19256,2013,2.64,2.44,2.54,2.54,19,0.04,2.44076453233801,0.0396947715744929,0.01,0.01
65,CAH,19221,2013,3.73,3.21,3.46,3.44,18,0.09,3.35312845154797,0.142032164032632,0.0841,0.0729
66,CSL,19039,2013,4.27,2.88,3.61,3.62,6,0.08,3.13904489070636,1.27905945923738,0.422499999999999,0.4356
67,CRS,19221,2013,2.73,2.74,3.42,3.4,11,0.2,2.910003654939,0.0324013157913986,0.4489,0.4761
68,CASY,19158,2013,2.94,3.04,3.23,3.25,7,0.19,3.4761591342185,0.287466617205933,0.0961,0.0841
69,CAT,19039,2013,8.9,7.4,9.51,9.44,24,0.28,7.30586518135268,2.54126582002371,0.291599999999999,0.372099999999999
70,FUN,19067,2013,1.81,1.7,2.25,2.23,4,0.08,1.38022060719771,0.184710326477505,0.1764,0.1936
71,CERN,19039,2013,1.195,0.935,1.14,1.14,20,0.02,0.992362443310312,0.0410619793811664,0.00302500000000002,0.00302500000000002
72,CHRS,18367,2011,-0.32,-0.54,-0.01,-0.05,3,0.06,-0.385007622183656,0.00422599094197295,0.0729,0.0961
73,CHD,19039,2013,2.48,2.22,2.42,2.43,17,0.05,2.34988925412843,0.0169288061912562,0.00249999999999998,0.00360000000000001
74,CSCO,19221,2013,2.02,1.85,1.93,1.94,44,0.07,1.97393381686331,0.00212209322878351,0.00640000000000001,0.00810000000000002
75,CTAS,19193,2013,2.52,2.27,2.52,2.52,15,0.03,2.34386905331124,0.0310221103814771,0,0
76,CTXS,19039,2013,2.87,2.48,2.74,2.73,30,0.04,2.64645321216649,0.0499731663506812,0.0196,0.0169
77,CLX,19221,2013,4.31,4.1,4.29,4.3,17,0.04,4.87225449217759,0.316130113973883,9.99999999999957e-05,0.000399999999999983
78,KO,19039,2013,2.01,1.92,2.04,2.04,18,0.03,1.98291774471482,0.000733448551331705,0.000900000000000015,0.000900000000000015
79,CGNX,19039,2013,0.78,0.815,0.86,0.86,5,0.01,1.14971718385026,0.136690796034169,0.00639999999999999,0.00639999999999999
80,CL,19039,2013,2.68,2.515,2.7,2.69,23,0.03,2.60332835543303,0.00587854108060394,9.99999999999957e-05,0.000400000000000001
81,CSC,19130,2013,2.18,3.24,2.69,2.55,14,0.6,3.51180020718211,1.77369179185032,0.1369,0.2601
82,CPWR,19158,2013,0.26,0.4,0.46,0.46,5,0.01,0.323423646567174,0.00402255894387776,0.04,0.04
83,CAG,19193,2013,2.16,1.84,1.98,1.98,13,0.02,1.78895834965173,0.13767190629317,0.0324000000000001,0.0324000000000001
84,CTB,19067,2013,3.41,1.36,1.84,1.88,8,0.27,2.07158424690958,1.79135672812061,2.3409,2.4649
85,GLW,19039,2013,1.29,1.76,1.38,1.32,24,0.14,1.65783076083463,0.135299468616182,0.000900000000000002,0.00809999999999998
86,CVD,19039,2013,2.7,2.7,2.67,2.65,19,0.06,2.82777155008092,0.0163255690100803,0.00250000000000003,0.000900000000000015
87,CR,19039,2013,3.7,3.43,3.87,3.87,8,0.06,3.51527492362242,0.0341233538427015,0.0289,0.0289
88,CYMI,18675,2012,2.58,3.02,3.37,3.33,8,0.22,4.44028774450357,3.46067049235018,0.5625,0.6241
89,CY,19039,2013,0.55,1.24,1.09,1.08,13,0.06,0.699044190021223,0.0222141705790823,0.2809,0.2916
90,CYT,19039,2013,1.51,1.83,2.02,2.04,6,0.1,1.96820675546404,0.209953430752878,0.2809,0.2601
91,DHI,19312,2013,1.33,2.77,0.9,0.85,20,0.15,7.74011149644138,41.08952939681,0.2304,0.1849
92,DST,19039,2013,3.98,4.07,4.07,4.1,6,0.06,3.98443393201806,1.9659753140803e-05,0.0143999999999999,0.00810000000000006
93,DRI,19193,2013,3.13,3.58,3.88,3.86,30,0.09,3.68376844101514,0.306659486264333,0.5329,0.5625
94,DE,19347,2013,9.09,7.63,8.35,8.35,23,0.17,8.11950398217808,0.941862520608202,0.5476,0.5476
95,DLX,19039,2013,3.53,3.11,3.22,3.23,4,0.04,2.83895189108953,0.477547488828735,0.0899999999999999,0.0960999999999998
96,XRAY,19039,2013,2.22,2.03,2.29,2.29,13,0.04,2.15692203754712,0.00397882934720754,0.00489999999999998,0.00489999999999998
97,DV,19221,2013,2.6,3.22,1.9,1.94,19,0.27,0.886901577697477,2.93470620449539,0.4356,0.49
98,DO,19039,2013,4.98,6.92,4.16,4.18,38,0.23,6.68174625896182,2.89594032989053,0.640000000000001,0.6724
99,DBD,19039,2013,2.07,2.31,2.43,2.43,9,0.03,2.21457561086634,0.0209021072573753,0.1296,0.1296
100,DIS,19312,2013,3.39,3.07,3.43,3.43,29,0.08,3.29291468549692,0.00942555829216159,0.0016,0.0016
101,DCI,19256,2013,1.64,1.73,1.9,1.9,11,0.02,2.01458248036096,0.140312034593366,0.0676,0.0676
102,DOV,19039,2013,4.44,4.48,4.9,4.88,12,0.13,4.34396753512846,0.00922223430930332,0.1936,0.2116
103,DOW,19039,2013,1.9,2.54,2.72,2.75,19,0.2,2.38916236660659,0.239279820904163,0.7225,0.6724
104,DJ,16484,2006,0.98,1.21,1.28,1.29,14,0.07,1.40664071025236,0.182022295644639,0.0961,0.09
105,DD,19039,2013,3.33,3.93,4.28,4.3,19,0.12,3.8103112915352,0.23069893677621,0.9409,0.9025
106,EMC,19039,2013,1.7,1.51,1.73,1.72,37,0.03,1.62679457294884,0.0053590345497426,0.000400000000000001,0.000900000000000002
107,E,19067,2013,5.06,5.35,4.7,5.17,4,1.55,5.5289487394309,0.219912920213827,0.0121000000000001,0.1296
108,EMN,19039,2013,5.38,4.56,4.75,4.78,3,0.15,5.1208299712256,0.0671691038149214,0.36,0.3969
109,ECL,19067,2013,2.98,2.54,3.02,3.03,17,0.04,2.72547185750139,0.0647845753237911,0.00249999999999998,0.0016
110,ELN,18675,2012,1.02,-0.56,-0.08,-0.1,9,0.07,-0.864439759038647,3.55111320544563,1.2544,1.21
111,EFII,19039,2013,1.29,1.12,1.27,1.26,5,0.03,1.14656419716009,0.0205738295363294,0.000900000000000002,0.000400000000000001
112,EMR,19312,2013,3.54,3.39,3.59,3.6,21,0.03,3.64844465883911,0.0117602440307308,0.00360000000000001,0.00249999999999998
113,EFX,19039,2013,2.97,2.52,2.82,2.83,12,0.04,2.62531739941241,0.118806095147824,0.0196,0.0225000000000001
114,FMC,19039,2013,3.48,2.99,3.42,3.45,10,0.1,3.14172507891298,0.11442992223643,0.000899999999999988,0.00360000000000001
115,FDO,19284,2013,3.8,3.64,4.24,4.25,27,0.07,3.90915680528583,0.0119152081402089,0.2025,0.1936
116,FAST,19011,2013,1.42,1.21,1.48,1.5,12,0.05,1.26292200262144,0.0246734972604577,0.00640000000000001,0.00360000000000001
117,FSS,17611,2009,0.79,0.63,0.83,0.9,5,0.11,1.07972599170262,0.0839411502680643,0.0121,0.00159999999999999
118,FOE,19067,2013,0.09,0.71,0.52,0.53,9,0.04,1.66922629532239,2.49395569183767,0.1936,0.1849
119,FISV,19039,2013,2.565,2.29,2.56,2.56,21,0.02,2.43124392432091,0.0178906877810714,2.49999999999989e-05,2.49999999999989e-05
120,FRX,19102,2013,0.4,3.71,1.02,0.98,27,0.17,2.70521587430041,5.3140202271266,0.3364,0.3844
121,FCX,19011,2013,3.22,4.84,4.54,4.47,22,0.75,3.31656478148775,0.00932475702377732,1.5625,1.7424
122,GMT,19011,2013,2.81,2.01,2.6,2.55,5,0.09,2.15072560781033,0.434642724197052,0.0676000000000001,0.0441
123,GCI,19039,2013,2.33,2.13,2.18,2.2,11,0.13,2.11472114346073,0.0463449860728572,0.0169,0.0225
124,GPS,19067,2013,2.33,1.56,1.82,1.8,32,0.1,1.5859163239167,0.553660517013636,0.2809,0.2601
125,GD,19039,2013,6.48,7.28,7.33,7.35,23,0.17,7.39118744976831,0.830262568615273,0.756899999999999,0.722499999999999
126,GE,19039,2013,1.52,1.37,1.54,1.55,16,0.03,1.29712693609972,0.049672402612298,0.000900000000000002,0.000400000000000001
127,GIS,19193,2013,2.69,2.56,2.67,2.66,20,0.03,2.57236489627074,0.0138380176293934,0.000899999999999988,0.000400000000000001
128,GNTX,19039,2013,1.19,1.14,1.28,1.29,12,0.07,0.759839396945786,0.185038144419965,0.01,0.00810000000000002
129,GPC,19067,2013,4.14,3.58,4.02,3.97,10,0.1,3.71029858148509,0.184643309073722,0.0288999999999998,0.0144
130,GENZ,17947,2010,2.27,4,4.72,4.71,19,0.05,3.76731801028856,2.24196122393448,5.9536,6.0025
131,GILD,19039,2013,1.95,1.93,1.93,1.92,29,0.1,2.22830809229437,0.0774553942365322,0.000900000000000002,0.000400000000000001
132,GLT,19039,2013,1.25,1.01,1.1,1.1,1,NA,0.92271206522576,0.107117392248787,0.0225,0.0225
133,GR,18311,2011,4.5,4.43,4.38,4.38,22,0.07,4.38266747438113,0.0137669215681018,0.0144,0.0144
134,GT,19039,2013,1.91,1.91,1.98,1.93,10,0.27,1.03016621876181,0.774107482607892,0.000400000000000001,0.00490000000000001
135,GGG,19039,2013,2.42,2.32,2.63,2.6,8,0.07,2.94577590775528,0.276440305175887,0.0324000000000001,0.0441
136,GWW,19039,2013,10.43,9.04,10.47,10.5,17,0.27,10.3884893094459,0.00172313743027691,0.00490000000000004,0.00160000000000007
137,HAE,19130,2013,1.71,1.52,1.69,1.68,7,0.02,1.74557211180229,0.00126537513807453,0.000900000000000002,0.000400000000000001
138,HAL,19039,2013,2.99,3.36,3.92,3.95,34,0.18,3.19822933758831,0.043359457032466,0.9216,0.864899999999999
139,JH,16484,2006,2.69,2.33,2.46,2.46,3,0.01,2.03990584818473,0.422622406224417,0.0529,0.0529
140,HAR,19221,2013,3.07,2.93,3.8,3.82,5,0.07,4.47874225709252,1.98455474691812,0.5625,0.5329
141,HRS,19221,2013,4.9,5.2,5.15,5.18,12,0.17,5.53860037349738,0.407810437030997,0.0783999999999996,0.0625
142,HSC,19039,2013,1.19,1.38,1.57,1.55,8,0.07,0.668724838603722,0.271727793888715,0.1296,0.1444
143,HHS,19039,2013,0.62,0.7,0.75,0.75,5,0.03,-0.14702900154277,0.588333489207699,0.0169,0.0169
144,HAS,19039,2013,2.81,2.78,2.99,2.98,13,0.13,2.54887961934378,0.0681838531940478,0.0289,0.0324000000000001
145,HNZ,18794,2012,3.35,3.08,3.35,3.35,18,0.03,3.01694461285281,0.110925890907765,0,0
146,HP,19312,2013,5.63,5.15,4.55,4.57,26,0.3,5.63821326344164,6.7457696361818e-05,1.1236,1.1664
147,JKHY,19221,2013,2.14,1.78,1.92,1.92,11,0.03,1.94286184677557,0.0388634514567391,0.0484000000000001,0.0484000000000001
148,HPC,16848,2007,1.23,0.85,1.02,1,6,0.06,4.42578538344191,10.213044217021,0.0529,0.0441
149,HSY,19039,2013,3.24,2.82,3.13,3.13,14,0.06,2.95716101692006,0.0799978903496936,0.0121000000000001,0.0121000000000001
150,HD,19067,2013,3.1,2.47,2.86,2.85,31,0.05,2.73072857614549,0.136361384475541,0.0625,0.0576000000000001
151,HM,14293,2000,0.08,-0.15,0.01,-0.02,21,0.1,0.659577988927638,0.335910645249405,0.01,0.0049
152,HRL,19347,2013,1.97,1.86,1.94,1.96,10,0.06,1.92068464259282,0.00243200447619806,1e-04,0.000900000000000002
153,HUM,19039,2013,7.64,8.46,7.96,8,18,0.26,8.67271388399335,1.06649796619264,0.1296,0.1024
154,IEX,19039,2013,2.68,2.55,2.79,2.8,10,0.03,2.62383688501882,0.00315429548438893,0.0143999999999999,0.0121
155,IDXX,19039,2013,3.13,2.73,3.07,3.07,12,0.02,2.88591221925366,0.0595788447096755,0.00360000000000001,0.00360000000000001
156,ITW,19039,2013,4.06,3.74,4.14,4.15,19,0.05,3.76110912228493,0.0893357567812847,0.00810000000000013,0.00640000000000001
157,IM,19039,2013,1.95,1.69,1.99,2,11,0.09,2.21398640194964,0.069688820414316,0.0025,0.0016
158,IDTI,19130,2013,0.21,0.38,0.34,0.35,7,0.03,0.0485621736302294,0.0260621717829962,0.0196,0.0169
159,INTC,19011,2013,2.13,2.39,2.37,2.39,47,0.18,2.06418637413234,0.00433143334984778,0.0676000000000001,0.0576000000000001
160,IBM,19011,2013,15.25,13.44,14.82,14.85,27,0.12,14.4832760450498,0.587865623094408,0.16,0.1849
161,IFF,19039,2013,3.98,3.74,4.05,4.05,13,0.11,3.69654319142263,0.0803477623288691,0.00489999999999998,0.00489999999999998
162,IGT,19312,2013,1.27,1.04,1.21,1.23,21,0.08,1.01876695766895,0.063118041558914,0.0016,0.00360000000000001
163,IP,19039,2013,2.65,3.1,2.76,2.75,14,0.29,2.85026487099616,0.04010601855511,0.01,0.0121
164,IRF,19256,2013,-0.9,-0.19,-0.39,-0.44,6,0.23,5.00263724690386,34.8411264685368,0.2116,0.2601
165,IPG,19067,2013,0.82,0.76,0.81,0.81,23,0.05,0.996313169939433,0.0310863338940915,9.9999999999998e-05,9.9999999999998e-05
166,INTU,19256,2013,3.2,2.97,3.36,3.35,21,0.04,3.17903014316626,0.000439734895627626,0.0225,0.0255999999999999
167,JBL,19284,2013,2.26,2.4,2.55,2.54,13,0.06,2.16554830331995,0.00892112300574032,0.0784000000000001,0.0841
168,JEC,19312,2013,3.23,2.91,3.28,3.3,19,0.12,3.1181212939392,0.0125168448698386,0.00489999999999998,0.00249999999999998
169,JNJ,19039,2013,5.1,5,5.11,5.1,22,0.04,5.12269211659309,0.00051493215547423,0,0.000100000000000014
170,JCI,19312,2013,2.66,2.59,2.59,2.6,23,0.08,2.38312358882876,0.0766605470630662,0.00360000000000001,0.00490000000000004
171,KLAC,19221,2013,3.3,4.64,4.29,4.31,18,0.59,3.53866490802773,0.0569609383238837,1.0201,0.9801
172,KDN,18703,2012,1.75,1.76,1.88,1.88,6,0.03,2.21204242914013,0.213483206325717,0.0169,0.0169
173,K,19039,2013,3.31,3.38,3.49,3.48,21,0.07,3.4406469375148,0.017068622281997,0.0289,0.0324000000000001
174,KMT,19221,2013,2.52,3.86,4.21,4.21,16,0.12,4.02682695756886,2.27052748005624,2.8561,2.8561
175,KMB,19039,2013,5.25,4.8,5.1,5.1,15,0.06,4.7462458422584,0.253768251441951,0.0225000000000001,0.0225000000000001
176,KRI,16120,2005,3.89,3.63,3.99,3.99,17,0.08,3.76799206285582,0.0148859367261785,0.01,0.01
